modelo,categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
qwen2.5-7b-q8,humanities,151,1,1,"Provide insights into the correlation between economic indicators such as GDP, i",0.00016633333115772888,166.33333115772888,17.677901068183612,134.70518390621186,13.950246183333286,64.2413,720
qwen2.5-7b-q8,humanities,151,1,2,"Provide insights into the correlation between economic indicators such as GDP, i",0.00016760043070178512,167.60043070178511,17.972132682654195,135.39413684163074,14.234161177500091,64.827,720
qwen2.5-7b-q8,humanities,151,1,3,"Provide insights into the correlation between economic indicators such as GDP, i",0.0001644525145223069,164.4525145223069,16.780324894495283,134.07855855364517,13.59363107416651,62.9401,720
qwen2.5-7b-q8,humanities,151,1,4,"Provide insights into the correlation between economic indicators such as GDP, i",0.00016681352198600366,166.81352198600365,16.75114360930312,136.7262936242004,13.336084752500028,63.4749,720
qwen2.5-7b-q8,humanities,151,1,5,"Provide insights into the correlation between economic indicators such as GDP, i",0.00016602960023455454,166.02960023455455,16.91433226774453,135.59151546764335,13.523752499166521,63.0463,720
qwen2.5-7b-q8,humanities,151,1,6,"Provide insights into the correlation between economic indicators such as GDP, i",0.00016615463155667283,166.15463155667283,16.036247983809364,137.33006589369694,12.788317679166425,63.2436,720
qwen2.5-7b-q8,humanities,151,1,7,"Provide insights into the correlation between economic indicators such as GDP, i",0.00016762540632038578,167.6254063203858,17.392055138162533,136.7961168755569,13.437234306666237,63.5449,720
qwen2.5-7b-q8,humanities,151,1,8,"Provide insights into the correlation between economic indicators such as GDP, i",0.00016960575229124018,169.60575229124018,16.961739525097727,139.16481345864196,13.479199307500476,64.0982,720
qwen2.5-7b-q8,humanities,151,1,9,"Provide insights into the correlation between economic indicators such as GDP, i",0.0001659936401502304,165.9936401502304,16.890386662273578,136.0744745629564,13.028778925000582,62.7052,720
qwen2.5-7b-q8,humanities,151,1,10,"Provide insights into the correlation between economic indicators such as GDP, i",0.00016529391336353677,165.29391336353677,15.721192602731183,136.97472645497257,12.59799430583314,62.352,720
