categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
roleplay,91,1,1,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00016892787646255442,168.92787646255442,19.614613200923607,134.8109879482978,14.502275313333064,70.2219,1024
roleplay,91,1,2,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00020504296277476652,205.04296277476652,59.69991827547398,101.67658161679272,43.66646288249991,69.0555,1024
roleplay,91,1,3,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00021332459046264984,213.32459046264984,65.22392831248122,100.53431145266825,47.56635069750038,68.6214,1024
roleplay,91,1,4,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.0002160593292557926,216.05932925579262,69.89777821585957,95.65379923243337,50.50775180749971,68.9078,1024
roleplay,91,1,5,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00021400180956867706,214.00180956867706,67.23362501787624,97.9778854874679,48.79029906333291,69.0743,1024
roleplay,91,1,6,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00021940070158348572,219.40070158348573,71.49585124621163,96.74412985227383,51.16072048500024,68.9733,1024
roleplay,91,1,7,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00022045923247577965,220.45923247577966,72.675726750702,96.25146492757732,51.53204079750036,68.8016,1024
roleplay,91,1,8,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00021899319455755115,218.99319455755116,70.75137485472378,98.27781352532779,49.96400617749951,68.9811,1024
roleplay,91,1,9,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00022147086466581378,221.4708646658138,72.73977082612831,95.46436630051804,53.2667275391673,69.4412,1024
roleplay,91,1,10,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.0002182272539114169,218.2272539114169,71.73928780375783,93.47255162682652,53.015414480832625,69.1063,1024
roleplay,91,1,11,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.0002183222245235863,218.3222245235863,69.16766699527345,98.12111183498023,51.03344569333254,68.9624,1024
roleplay,91,1,12,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00021814273126659356,218.14273126659356,70.60197068693658,94.84771345965599,52.693047120001005,69.3827,1024
roleplay,91,1,13,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00021889933660476855,218.89933660476854,72.3366563640117,92.44359493075734,54.119085309999384,69.1427,1024
roleplay,91,1,14,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00021836608298009396,218.36608298009395,69.68732956654955,95.52331921104619,53.155434202498306,69.3503,1024
roleplay,91,1,15,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,0.00022009705253970063,220.09705253970063,71.34900786109077,94.75618818444406,53.99185649416571,69.0349,1024
roleplay,92,2,1,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00021887133642939732,218.87133642939733,70.59864611979977,94.7316313129309,53.54105899666671,69.1368,1024
roleplay,92,2,2,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.0002155904878595783,215.5904878595783,70.09120911806804,91.22269235484391,54.2765863866665,69.3932,1024
roleplay,92,2,3,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00021454532987032755,214.54532987032755,69.11306766731818,92.29917470384278,53.13308749916644,69.3975,1024
roleplay,92,2,4,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00022171320418517895,221.71320418517894,72.32334453383754,94.81622721884075,54.57363243250047,69.8066,1024
roleplay,92,2,5,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00021683533460070898,216.835334600709,71.86745830634827,90.82701275269322,54.14086354166746,69.1289,1024
roleplay,92,2,6,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.0002198373908041944,219.8373908041944,72.89922807890338,92.50487981112518,54.433282914165844,69.521,1024
roleplay,92,2,7,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00021804736812873712,218.04736812873713,72.02715725759568,91.89339924030826,54.12681163083315,69.3322,1024
roleplay,92,2,8,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00021710995280683085,217.10995280683085,71.11759097097452,91.72543277585507,54.266929060001196,69.3937,1024
roleplay,92,2,9,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.0002228351735759896,222.83517357598961,75.66507039940392,92.71456699575145,54.455536180834095,69.5866,1024
roleplay,92,2,10,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00021629299739059433,216.29299739059434,71.89056374852251,90.2473085745708,54.15512506750095,69.0829,1024
roleplay,92,2,11,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00021742728874515102,217.427288745151,72.6552120827646,90.31851155655315,54.45356510583339,69.4997,1024
roleplay,92,2,12,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00021755988773834758,217.55988773834758,71.76698221281032,91.5879839938728,54.20492153166457,69.379,1024
roleplay,92,2,13,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00021632243030079052,216.32243030079053,72.86458601533903,89.05501869794924,54.402825587502164,69.495,1024
roleplay,92,2,14,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00021782095889832107,217.82095889832107,70.64516934391135,93.17213340357812,54.00365615083162,69.1803,1024
roleplay,92,2,15,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",0.00022118765159328063,221.18765159328063,72.3106210720337,94.4249512162474,54.452079304999565,69.5409,1024
roleplay,93,3,1,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.0002233634663052931,223.3634663052931,73.27106030824788,95.38641967537988,54.705986321665335,70.0717,1024
roleplay,93,3,2,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.0002218497629060862,221.8497629060862,73.80634077275484,93.25279268666453,54.79062944666683,70.0872,1024
roleplay,93,3,3,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.00022201751198593403,222.01751198593402,72.80974332120896,94.30819009305814,54.899578571667014,70.3875,1024
roleplay,93,3,4,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.00022227502274685913,222.27502274685912,73.44807452016586,94.34941225002808,54.47753597666519,69.5722,1024
roleplay,93,3,5,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.0002165597398542855,216.55973985428548,71.25453400815078,90.93697636780036,54.36822947833432,69.5739,1024
roleplay,93,3,6,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.0002198062927062458,219.8062927062458,73.27274719362212,92.07539940179092,54.458146110832786,69.8155,1024
roleplay,93,3,7,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.00022043664417315393,220.43664417315392,71.98739805655276,94.51686486410092,53.93238125250034,69.6354,1024
roleplay,93,3,8,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.00021993068048906713,219.93068048906713,73.35990135983634,91.9664317367328,54.60434739249803,69.8935,1024
roleplay,93,3,9,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.00022211506147030836,222.11506147030835,73.15653865877104,94.35698031320374,54.601542498333686,69.9082,1024
roleplay,93,3,10,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.0002227588986706622,222.7588986706622,73.50630728758941,94.7015375339024,54.551053849170344,69.8931,1024
roleplay,93,3,11,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.00022068286892910823,220.68286892910822,72.9501699776402,93.27702968063751,54.455669270830285,69.799,1024
roleplay,93,3,12,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.00022219048258981952,222.1904825898195,74.29754045309276,93.14080585422406,54.75213628250269,70.095,1024
roleplay,93,3,13,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.00021785008332670834,217.85008332670833,72.20678201603802,90.43630981816985,55.206991492500464,70.553,1024
roleplay,93,3,14,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.000222304926060244,222.304926060244,73.80036582980551,93.85061147960577,54.653948750832704,69.9377,1024
roleplay,93,3,15,Imagine yourself as a doctor tasked with devising innovative remedies for variou,0.0002211267160625847,221.1267160625847,73.18568057526727,93.2656289939833,54.67540649333426,70.0855,1024
roleplay,94,4,1,Please take on the role of a relationship coach. You'll be provided with details,0.00022233205605520805,222.33205605520806,73.40986973170877,94.31962167433326,54.60256464916595,69.8516,1024
roleplay,94,4,2,Please take on the role of a relationship coach. You'll be provided with details,0.0002208475171141341,220.8475171141341,71.97392198628224,94.04163415368636,54.83196097416569,70.1503,1024
roleplay,94,4,3,Please take on the role of a relationship coach. You'll be provided with details,0.00022032560532040958,220.32560532040958,73.37097348588128,92.4552166970282,54.4994151374999,69.8869,1024
roleplay,94,4,4,Please take on the role of a relationship coach. You'll be provided with details,0.000221009545646473,221.00954564647301,73.55746643066121,92.59016932330746,54.861909892504194,70.1014,1024
roleplay,94,4,5,Please take on the role of a relationship coach. You'll be provided with details,0.00022307520111641192,223.07520111641193,73.76636754747827,94.63157270310526,54.67726086582844,70.0438,1024
roleplay,94,4,6,Please take on the role of a relationship coach. You'll be provided with details,0.00021695911656932447,216.95911656932446,71.2813487952763,91.2522887123808,54.425479061667374,69.4897,1024
roleplay,94,4,7,Please take on the role of a relationship coach. You'll be provided with details,0.00022139247558338143,221.39247558338144,73.61810013345337,93.06701986243512,54.70735558749312,70.0221,1024
roleplay,94,4,8,Please take on the role of a relationship coach. You'll be provided with details,0.00022051478707419667,220.51478707419668,72.15098519292515,94.21784986876774,54.145952012503734,70.1227,1024
roleplay,94,4,9,Please take on the role of a relationship coach. You'll be provided with details,0.00022346676820926656,223.46676820926658,74.28722000527365,94.42678868899108,54.75275951500178,70.0048,1024
roleplay,94,4,10,Please take on the role of a relationship coach. You'll be provided with details,0.0002202466868736726,220.24668687367262,71.26958169523199,95.01214857593835,53.96495660250213,69.8898,1024
roleplay,94,4,11,Please take on the role of a relationship coach. You'll be provided with details,0.00022382409579259127,223.82409579259127,73.81426226480366,95.42625276945377,54.58358075833378,69.9865,1024
roleplay,94,4,12,Please take on the role of a relationship coach. You'll be provided with details,0.00021874757531443426,218.74757531443427,71.60370552915141,92.46012593194897,54.683743853333915,70.0325,1024
roleplay,94,4,13,Please take on the role of a relationship coach. You'll be provided with details,0.00022116848836347818,221.1684883634782,72.30955252395293,94.29304809369229,54.56588774583302,69.9418,1024
roleplay,94,4,14,Please take on the role of a relationship coach. You'll be provided with details,0.00021699742450697875,216.99742450697875,70.38684104852251,92.03533932511968,54.57524413333659,69.8918,1024
roleplay,94,4,15,Please take on the role of a relationship coach. You'll be provided with details,0.00022059278903985679,220.5927890398568,72.19033421267382,94.30704236217895,54.09541246500414,69.9481,1024
roleplay,95,5,1,"Please assume the role of an English translator, tasked with correcting and enha",0.00021851488737618377,218.51488737618376,73.11308066111152,90.36790293090341,55.03390378416876,70.4446,1024
roleplay,95,5,2,"Please assume the role of an English translator, tasked with correcting and enha",0.0002197080247574287,219.70802475742872,72.8404419143613,91.88641551723632,54.98116732583108,70.4893,1024
roleplay,95,5,3,"Please assume the role of an English translator, tasked with correcting and enha",0.00022154857879256535,221.54857879256534,71.52387480795419,94.83892141794273,55.18578256666845,70.5817,1024
roleplay,95,5,4,"Please assume the role of an English translator, tasked with correcting and enha",0.00022080097964211754,220.80097964211754,72.66207306516085,93.38018185612215,54.75872472083437,70.1082,1024
roleplay,95,5,5,"Please assume the role of an English translator, tasked with correcting and enha",0.00021903413771563743,219.03413771563743,71.86509386804101,92.49182336509618,54.677220482500026,70.1031,1024
roleplay,95,5,6,"Please assume the role of an English translator, tasked with correcting and enha",0.00021841768858448115,218.41768858448114,71.99341819751238,91.67736664280945,54.746903744159404,70.1951,1024
roleplay,95,5,7,"Please assume the role of an English translator, tasked with correcting and enha",0.000223529597259727,223.529597259727,72.54687749533278,95.90194889440004,55.080770869994176,70.5141,1024
roleplay,95,5,8,"Please assume the role of an English translator, tasked with correcting and enha",0.0002198486762046315,219.8486762046315,72.32502683828274,92.46447922551617,55.05917014083253,70.4374,1024
roleplay,95,5,9,"Please assume the role of an English translator, tasked with correcting and enha",0.00021996296152201636,219.96296152201637,71.53335419306252,93.5946662514483,54.834941077505555,70.162,1024
roleplay,95,5,10,"Please assume the role of an English translator, tasked with correcting and enha",0.00022111197713045878,221.1119771304588,72.64385290289772,93.54486759755984,54.923256630001255,70.3848,1024
roleplay,95,5,11,"Please assume the role of an English translator, tasked with correcting and enha",0.00022223712441165353,222.23712441165353,73.80361764937025,93.32624592727953,55.10726083500381,70.5342,1024
roleplay,95,5,12,"Please assume the role of an English translator, tasked with correcting and enha",0.00022235830305668844,222.35830305668844,74.00384117389989,93.70342816528895,54.65103371749972,70.1053,1024
roleplay,95,5,13,"Please assume the role of an English translator, tasked with correcting and enha",0.00021913697558971433,219.13697558971432,71.99954070916557,92.29666439221157,54.8407704883372,70.2005,1024
roleplay,95,5,14,"Please assume the role of an English translator, tasked with correcting and enha",0.0002190180235366671,219.0180235366671,72.51767417709935,91.7167960612347,54.783553298332976,70.1509,1024
