modelo,categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
qwen2.5-7b-q4,roleplay,91,1,1,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.642711534439416e-05,86.42711534439415,11.186368962927467,66.0590566948,9.181689686666726,24.8294,439
qwen2.5-7b-q4,roleplay,91,1,2,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.71906775245002e-05,87.1906775245002,11.323625319972866,66.61090679036063,9.256145414166708,24.887,439
qwen2.5-7b-q4,roleplay,91,1,3,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.726711524788794e-05,87.26711524788794,10.853936434913209,67.96779982047481,8.445378992499926,25.0364,439
qwen2.5-7b-q4,roleplay,91,1,4,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.606813281175621e-05,86.06813281175621,11.058348860366936,65.87147791055588,9.138306040833397,24.8186,439
qwen2.5-7b-q4,roleplay,91,1,5,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.693688126592546e-05,86.93688126592546,11.309141524499367,66.53316512059288,9.094574620833244,24.7098,439
qwen2.5-7b-q4,roleplay,91,1,6,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.067904826574737e-05,90.67904826574737,11.650668664512986,69.83328355623438,9.195096045000021,24.8784,439
qwen2.5-7b-q4,roleplay,91,1,7,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.70014741594629e-05,87.0014741594629,11.399760809218986,66.49627921857733,9.105434131666595,24.7798,439
qwen2.5-7b-q4,roleplay,91,1,8,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.748968060138844e-05,87.48968060138844,11.024616885315465,67.66894642607292,8.79611729000009,24.7872,439
qwen2.5-7b-q4,roleplay,91,1,9,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.870597961511805e-05,88.70597961511805,11.169777707410367,68.745538328541,8.790663579166656,24.6599,439
qwen2.5-7b-q4,roleplay,91,1,10,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.886869289599688e-05,88.86869289599687,11.148329351209513,68.90740427228732,8.812959272500033,24.6843,439
qwen2.5-7b-q4,roleplay,91,1,11,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.949921103574256e-05,89.49921103574256,11.414526066000485,69.33739687974206,8.747288089999993,24.744,439
qwen2.5-7b-q4,roleplay,91,1,12,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.785795084531085e-05,87.85795084531085,11.231174325805766,67.77941374200505,8.847362777500031,24.7556,439
qwen2.5-7b-q4,roleplay,91,1,13,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.84230840501617e-05,88.4230840501617,11.005645175937063,68.69204974005798,8.725389134166717,24.7149,439
qwen2.5-7b-q4,roleplay,91,1,14,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.973030318447307e-05,89.73030318447307,11.310968987455269,69.78151909368455,8.637815103333251,24.6278,439
qwen2.5-7b-q4,roleplay,91,1,15,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,8.935078712250025e-05,89.35078712250025,11.08815807283774,69.37625988382919,8.886369165833324,24.8075,439
qwen2.5-7b-q4,roleplay,92,2,1,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",7.03466070883174e-05,70.3466070883174,10.015760553820702,52.79114219699668,7.539704337499984,17.4041,305
qwen2.5-7b-q4,roleplay,92,2,2,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",7.031789809140292e-05,70.31789809140292,9.977627624627777,52.88706581177498,7.453204655000149,17.3107,305
qwen2.5-7b-q4,roleplay,92,2,3,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",6.914950719226467e-05,69.14950719226466,9.740945422623993,52.03942590214078,7.369135867499872,17.24,305
qwen2.5-7b-q4,roleplay,92,2,4,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",6.924320120741923e-05,69.24320120741923,9.95743264909895,51.8294710583202,7.456297500000063,17.3053,305
qwen2.5-7b-q4,roleplay,92,2,5,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",6.964453770531509e-05,69.64453770531509,10.016191609673392,52.21454095564147,7.413805140000231,17.2993,305
qwen2.5-7b-q4,roleplay,92,2,6,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",7.027970629420613e-05,70.27970629420612,10.232447161809858,52.464382396562954,7.582876735833299,17.48,305
