modelo,categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
qwen2.5-7b-q8,roleplay,91,1,1,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.132812765563547e-05,91.32812765563547,13.974397761949975,66.73525062535217,10.618479268333306,31.4264,347
qwen2.5-7b-q8,roleplay,91,1,2,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.005125232096564e-05,90.05125232096565,12.943729207225209,67.0487144354071,10.058808678333312,30.9496,347
qwen2.5-7b-q8,roleplay,91,1,3,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.288456902822027e-05,92.88456902822027,13.733552245403077,68.38351466948393,10.76750211333329,31.6231,347
qwen2.5-7b-q8,roleplay,91,1,4,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.235999618351694e-05,92.35999618351694,13.953731139155618,67.77363702436146,10.63262801999983,31.4678,347
qwen2.5-7b-q8,roleplay,91,1,5,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.369744404965942e-05,93.69744404965942,14.205398080271033,68.60732322605512,10.88472274333327,31.6739,347
qwen2.5-7b-q8,roleplay,91,1,6,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.283200614933538e-05,92.83200614933537,13.776098621094944,68.39857829074046,10.6573292375,31.6053,347
qwen2.5-7b-q8,roleplay,91,1,7,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.131592680589608e-05,91.31592680589608,12.548562882162102,69.25684159790062,9.510522325833364,31.0698,347
qwen2.5-7b-q8,roleplay,91,1,8,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.050080417369315e-05,90.50080417369315,12.937080152462542,67.16534173206423,10.398382289166408,30.922,347
qwen2.5-7b-q8,roleplay,91,1,9,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.349511179770613e-05,93.49511179770613,13.374841414488666,70.17572399155083,9.944546391666666,30.3462,347
qwen2.5-7b-q8,roleplay,91,1,10,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.060487930321729e-05,90.60487930321729,12.65808038365979,67.74336704455773,10.203431874999751,30.7893,347
qwen2.5-7b-q8,roleplay,91,1,11,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.225928686432957e-05,92.25928686432957,13.290943883704852,68.76346082562522,10.204882154999476,30.8162,347
qwen2.5-7b-q8,roleplay,91,1,12,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.15678064327912e-05,91.5678064327912,12.883376297829377,68.789787945795,9.8946421891668,30.433,347
qwen2.5-7b-q8,roleplay,91,1,13,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.38090774500253e-05,93.8090774500253,12.91138586218389,71.25253471117493,9.645156876666478,31.0727,347
qwen2.5-7b-q8,roleplay,91,1,14,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.231278857085507e-05,92.31278857085506,13.297679341653218,69.10693829253545,9.90817093666645,30.4504,347
qwen2.5-7b-q8,roleplay,91,1,15,Pretend yourself to be Elon Musk in all the following conversations. Speak like ,9.285768454993456e-05,92.85768454993456,13.51332712852951,68.90796818640523,10.436389234999885,30.8423,347
qwen2.5-7b-q8,roleplay,92,2,1,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",4.1932462369224e-05,41.932462369224,8.61662968541389,26.770112301310167,6.545720382499951,9.3976,102
qwen2.5-7b-q8,roleplay,92,2,2,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",4.231151126221199e-05,42.311511262211994,8.778230687413076,27.055233247298823,6.478047327500084,9.3234,102
qwen2.5-7b-q8,roleplay,92,2,3,"Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conv",4.1702572338877546e-05,41.702572338877545,8.45206500203023,26.809129349347373,6.441377987499948,9.2578,102
