categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
reasoning,101,1,1,Imagine you are participating in a race with a group of people. If you have just,0.0002949812660937913,294.9812660937913,115.0729949687745,96.5148107433496,83.39346038166718,113.9256,1024
reasoning,101,1,2,Imagine you are participating in a race with a group of people. If you have just,0.00028479959059724664,284.79959059724666,111.82321671846131,92.0527825979516,80.92359128083349,109.046,1024
reasoning,101,1,3,Imagine you are participating in a race with a group of people. If you have just,0.00030520050883243603,305.200508832436,116.98465808985918,104.55593438674337,83.65991635583337,114.86,1024
reasoning,101,1,4,Imagine you are participating in a race with a group of people. If you have just,0.00030127633040202714,301.27633040202716,116.13008248226437,101.35780871476308,83.78843920499972,114.5968,1024
reasoning,101,1,5,Imagine you are participating in a race with a group of people. If you have just,0.0003096826667756557,309.6826667756557,118.00212381948523,108.23805986283718,83.44248309333307,114.3429,1024
reasoning,101,1,6,Imagine you are participating in a race with a group of people. If you have just,0.0003008319536854979,300.8319536854979,116.90912724004377,99.64026595378883,84.2825604916654,115.036,1024
reasoning,101,1,7,Imagine you are participating in a race with a group of people. If you have just,0.0003059011503015455,305.9011503015455,118.09285224476469,103.7436211467822,84.06467690999858,114.8017,1024
reasoning,101,1,8,Imagine you are participating in a race with a group of people. If you have just,0.0003068034413369804,306.80344133698037,117.56018371482695,105.61791317715372,83.62534444499964,114.3626,1024
reasoning,101,1,9,Imagine you are participating in a race with a group of people. If you have just,0.0003037800174301445,303.7800174301445,117.96553653146638,101.69078118201135,84.12369971666696,114.8898,1024
reasoning,101,1,10,Imagine you are participating in a race with a group of people. If you have just,0.0003078968507443912,307.8968507443912,118.6841726456381,105.49288198708489,83.7197961116684,114.975,1024
reasoning,101,1,11,Imagine you are participating in a race with a group of people. If you have just,0.0003080580142522413,308.0580142522413,117.63754157043053,107.34946979931264,83.07100288249822,112.3242,1024
reasoning,101,1,12,Imagine you are participating in a race with a group of people. If you have just,0.0003086078077368661,308.60780773686605,118.81615838241156,105.36114171612093,84.43050763833375,114.9833,1024
reasoning,101,1,13,Imagine you are participating in a race with a group of people. If you have just,0.0003060960869974384,306.0960869974384,117.17076292998583,105.33051337495394,83.5948106924987,114.616,1024
reasoning,101,1,14,Imagine you are participating in a race with a group of people. If you have just,0.00030547365250132116,305.47365250132117,118.97185330852567,102.43991249779265,84.0618866950032,114.7534,1024
reasoning,101,1,15,Imagine you are participating in a race with a group of people. If you have just,0.00030964619602292577,309.6461960229258,118.86098216420338,106.18631945288894,84.59889440583343,114.934,1024
reasoning,102,2,1,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.00031138763353543336,311.38763353543334,117.82938833935194,109.47578904608156,84.0824561499998,115.07,1024
reasoning,102,2,2,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.00030944806397603555,309.44806397603554,118.32943725258424,106.99286755762004,84.12575916583135,115.0717,1024
reasoning,102,2,3,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0003086160612234027,308.6160612234027,119.39083879365596,105.62899833224799,83.59622409749898,114.1196,1024
reasoning,102,2,4,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.00026528679879003373,265.28679879003374,104.85141991905967,85.93957154514342,74.49580732583097,100.0288,1024
reasoning,102,2,5,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002687192113853526,268.7192113853526,105.64865778426454,88.3602297102537,74.71032389083423,100.2264,1024
reasoning,102,2,6,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002638027328435074,263.8027328435074,105.52467218176716,83.63608899507325,74.64197166666698,100.0629,1024
reasoning,102,2,7,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002681890936823862,268.18909368238616,104.29136965047965,89.34946777774168,74.5482562541649,99.8818,1024
