categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
humanities,151,1,1,"Provide insights into the correlation between economic indicators such as GDP, i",0.0003019724216306696,301.9724216306696,117.76615354237576,99.92219288246037,84.28407520583333,116.1565,1024
humanities,151,1,2,"Provide insights into the correlation between economic indicators such as GDP, i",0.0003036448397053451,303.6448397053451,116.25111111095097,103.0598652260613,84.33386336833283,115.0961,1024
humanities,151,1,3,"Provide insights into the correlation between economic indicators such as GDP, i",0.00030485974622943365,304.85974622943365,116.64174757764482,104.06257480178894,84.15542384999972,115.5658,1024
humanities,151,1,4,"Provide insights into the correlation between economic indicators such as GDP, i",0.00030270733069085007,302.7073306908501,116.36488931990425,102.43159817927928,83.91084319166688,114.8651,1024
humanities,151,1,5,"Provide insights into the correlation between economic indicators such as GDP, i",0.00029865733563976037,298.6573356397604,118.5880189207978,95.74999641062888,84.3193203083337,114.9884,1024
humanities,151,1,6,"Provide insights into the correlation between economic indicators such as GDP, i",0.0003018115856786125,301.8115856786125,118.90130096536097,98.72049773325146,84.18978698000006,115.2835,1024
humanities,151,1,7,"Provide insights into the correlation between economic indicators such as GDP, i",0.00030401544941274235,304.0154494127423,118.61608582618918,101.58425195155272,83.81511163500001,115.396,1024
humanities,151,1,8,"Provide insights into the correlation between economic indicators such as GDP, i",0.0003039239002239123,303.9239002239123,119.0845785357032,100.85476394987604,83.98455773833274,114.914,1024
humanities,151,1,9,"Provide insights into the correlation between economic indicators such as GDP, i",0.00030764238126148094,307.6423812614809,118.65961057639328,104.91336512425522,84.06940556083254,114.9831,1024
humanities,151,1,10,"Provide insights into the correlation between economic indicators such as GDP, i",0.00030590170103053736,305.90170103053737,119.12691540981662,102.5506404115543,84.22414520916614,115.0093,1024
humanities,151,1,11,"Provide insights into the correlation between economic indicators such as GDP, i",0.0003109450751861307,310.9450751861307,118.05500709247912,109.03037704948494,83.85969104416668,114.952,1024
humanities,151,1,12,"Provide insights into the correlation between economic indicators such as GDP, i",0.00031200364281752516,312.0036428175252,117.22630491951763,110.76671182134038,84.01062607666667,115.5356,1024
