categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
extraction,131,1,1,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.00018543606349270998,185.43606349271,38.05825010817752,120.93790859619934,26.43990478833318,71.8369,1024
extraction,131,1,2,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.0001980237213417499,198.0237213417499,48.05569597266204,114.79553964325419,35.17248572583356,71.3855,1024
extraction,131,1,3,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.00019946352996666843,199.46352996666843,48.82847063787086,115.55961231129848,35.075447017499116,71.3278,1024
extraction,131,1,4,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.0002042439372920794,204.2439372920794,51.68639332043083,115.08897862581564,37.468565345832694,71.551,1024
extraction,131,1,5,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.00020118552544828126,201.18552544828125,51.161211197666105,113.09773150811553,36.92658274249955,71.5848,1024
extraction,131,1,6,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.00021254292723343082,212.54292723343082,60.71110910460705,108.59872268132355,43.23309544750014,71.1567,1024
extraction,131,1,7,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.0002148514961589228,214.8514961589228,60.81856690778044,109.89344668280911,44.139482568333314,71.5644,1024
extraction,131,1,8,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.00021958869314628885,219.58869314628885,66.86677450138214,104.61982242990608,48.10209621500055,71.41,1024
extraction,131,1,9,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.0002286450912634335,228.6450912634335,72.75557123934043,103.52013492076016,52.369385103332995,71.6027,1024
extraction,131,1,10,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.00022329696881467494,223.29696881467493,67.96967740735673,105.48507220731825,49.84221920000001,71.5269,1024
extraction,131,1,11,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.00021789529871221326,217.89529871221328,65.43967472068302,104.98492548653105,47.470698504999206,71.5334,1024
extraction,131,1,12,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.0002240583130163026,224.05831301630258,71.27416970061944,100.97176137235033,51.81238194333296,71.6501,1024
extraction,131,1,13,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.00022437271724280833,224.37271724280833,71.40949976978024,101.013295392195,51.94992208083306,71.9605,1024
extraction,131,1,14,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.0002230415557994759,223.0415557994759,70.52148921406304,99.78710384124635,52.73296274416661,71.4651,1024
extraction,131,1,15,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",0.0002261186824941318,226.1186824941318,71.28419633558995,100.83782289687515,53.99666326166669,71.6011,1024
extraction,132,2,1,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.00022752298175480903,227.52298175480902,72.27732199547806,101.00786760599755,54.23779215333334,71.9759,1024
extraction,132,2,2,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.0002238062450531277,223.8062450531277,70.79810115904377,98.7823320199164,54.22581187416766,71.985,1024
extraction,132,2,3,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.00022421380971068076,224.21380971068078,72.26778957698998,97.20449610952222,54.74152402416848,71.9206,1024
extraction,132,2,4,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.00022589594479196845,225.89594479196845,70.70884219610144,100.39567634503304,54.79142625083397,72.0622,1024
extraction,132,2,5,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.0002238671499093084,223.8671499093084,72.26962449327084,96.31993670187022,55.277588714167415,71.8233,1024
extraction,132,2,6,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.00022716393974586105,227.16393974586106,73.37972773550099,97.9145572186929,55.86965479166699,72.5962,1024
extraction,132,2,7,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.00022540977365220616,225.40977365220616,71.62657682359438,98.80993936444362,54.97325746416817,72.1267,1024
extraction,132,2,8,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.0002220330485844131,222.0330485844131,68.2737874290612,100.55239935035162,53.20686180500025,72.2285,1024
extraction,132,2,9,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.0002225250358429394,222.52503584293942,68.92013974824143,100.44917637136687,53.155719723331075,71.953,1024
extraction,132,2,10,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.00022639817089608997,226.39817089608997,72.66650851211682,98.3941000556393,55.33756232833371,72.071,1024
extraction,132,2,11,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.00022417479245386964,224.17479245386963,70.80980239719455,99.49135245000872,53.87363760666629,72.392,1024
extraction,132,2,12,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.00022440898248155612,224.40898248155614,71.33617788291873,98.82717956030461,54.24562503833273,72.0264,1024
extraction,132,2,13,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.00022764745730359485,227.64745730359485,73.06030534201193,99.73269272408567,54.85445923749732,71.9346,1024
extraction,132,2,14,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.0002269353955115494,226.9353955115494,73.95582498407708,96.97250167330921,56.00706885416306,72.1659,1024
extraction,132,2,15,"Given these categories - Literature, History, Science, and Art. Please analyze t",0.00022580332411769623,225.80332411769623,72.00477982302635,99.02125401050318,54.7772902841666,72.4628,1024
extraction,133,3,1,Extract the following information from the presented texts: The name of the book,0.00023255973298579963,232.55973298579963,76.00035389060443,99.25817375353007,57.30120534166533,74.9898,1024
extraction,133,3,2,Extract the following information from the presented texts: The name of the book,0.0002282795098882649,228.2795098882649,72.13603374671017,101.21600988655482,54.92746625499991,74.5475,1024
extraction,133,3,3,Extract the following information from the presented texts: The name of the book,0.00023161446820675356,231.61446820675354,74.49841150502476,100.34666288006385,56.76939382166513,74.8853,1024
extraction,133,3,4,Extract the following information from the presented texts: The name of the book,0.00023537800692185896,235.37800692185897,74.59207129151349,105.15020007451146,55.63573555583387,74.7397,1024
extraction,133,3,5,Extract the following information from the presented texts: The name of the book,0.00023301444518193816,233.01444518193816,75.4219411831588,101.12881108461391,56.46369291416554,75.1379,1024
extraction,133,3,6,Extract the following information from the presented texts: The name of the book,0.00023322482527546342,233.22482527546342,75.39657939914132,101.17807969465856,56.65016618166381,74.5641,1024
extraction,133,3,7,Extract the following information from the presented texts: The name of the book,0.0002320648415113362,232.0648415113362,72.44406002782937,104.96179395183937,54.65898753166736,74.9677,1024
