modelo,categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
qwen2.5-7b-q4,writing,81,1,1,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00015911522910736045,159.11522910736045,15.692519572129262,130.7804457468962,12.64226378833503,52.9374,932
qwen2.5-7b-q4,writing,81,1,2,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00016040347712330618,160.40347712330617,16.058631922163944,131.721800824474,12.623044376668226,52.8355,932
qwen2.5-7b-q4,writing,81,1,3,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00016168585937445526,161.68585937445525,16.022056011536716,133.72073916125058,11.943064201667918,52.6892,932
qwen2.5-7b-q4,writing,81,1,4,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00016226094557201477,162.26094557201478,15.282819290007863,135.39388985450762,11.58423642749918,52.5142,932
qwen2.5-7b-q4,writing,81,1,5,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00016171970620073068,161.71970620073068,14.790947170570034,135.41666364599192,11.512095384168788,52.5029,932
qwen2.5-7b-q4,writing,81,1,6,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00016345602798409052,163.45602798409053,15.286336528047066,136.74352520770717,11.42616624833636,52.7601,932
qwen2.5-7b-q4,writing,81,1,7,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.0001622743652972549,162.2743652972549,14.449839547244895,136.15085629584917,11.67366945416082,52.2473,932
qwen2.5-7b-q4,writing,81,1,8,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00016121088474903308,161.21088474903308,14.450509081021766,135.47834882800987,11.282026840001432,52.5934,932
qwen2.5-7b-q4,writing,81,1,9,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00015631672153103095,156.31672153103096,14.01894740608499,131.10441679577815,11.193357329167762,52.0776,932
qwen2.5-7b-q4,writing,81,1,10,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00015795319308403106,157.95319308403106,13.668715576310221,132.81515608188604,11.469321425834853,52.1311,932
qwen2.5-7b-q4,writing,81,1,11,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00015627840212226055,156.27840212226056,13.888984027668739,131.1241272937594,11.265290800832492,52.1893,932
qwen2.5-7b-q4,writing,81,1,12,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00015461996237434356,154.61996237434357,14.21056817803996,128.924396242136,11.48499795416759,52.2952,932
qwen2.5-7b-q4,writing,81,1,13,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00014963999735619958,149.6399973561996,14.378700998184598,124.21175027884198,11.049546079173071,52.2233,932
qwen2.5-7b-q4,writing,81,1,14,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00015258979857023347,152.58979857023348,13.65240057538028,128.16530385902192,10.772094135831288,52.4308,932
qwen2.5-7b-q4,writing,81,1,15,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00014719173387184008,147.19173387184009,13.42662568464087,122.64134148553407,11.123766701665168,52.258,932
qwen2.5-7b-q4,writing,82,2,1,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.0548601357479076e-05,50.54860135747908,7.994129482166951,36.26987708447884,6.284594790833277,10.4156,185
qwen2.5-7b-q4,writing,82,2,2,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.1622501773657036e-05,51.622501773657035,8.24267061119136,37.18457779413168,6.195253368334002,10.3767,185
qwen2.5-7b-q4,writing,82,2,3,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.213054207943864e-05,52.13054207943864,8.724290315711476,36.926018536225634,6.480233227501533,10.5487,185
qwen2.5-7b-q4,writing,82,2,4,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.182936831633984e-05,51.82936831633984,8.374346406678221,36.984336736330036,6.47068517333158,10.5914,185
qwen2.5-7b-q4,writing,82,2,5,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,4.9906449906682886e-05,49.90644990668289,8.094123750412152,35.5202327896031,6.292093366667662,10.4066,185
qwen2.5-7b-q4,writing,82,2,6,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.075804728366624e-05,50.75804728366624,8.115140886066254,36.22090118926713,6.422005208332849,10.5449,185
qwen2.5-7b-q4,writing,82,2,7,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.080595625901788e-05,50.805956259017876,8.101502175567651,36.17115901345018,6.533295070000047,10.6535,185
qwen2.5-7b-q4,writing,82,2,8,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.111503109930692e-05,51.11503109930692,8.021997814705326,36.7282482854354,6.364784999166205,10.3811,185
qwen2.5-7b-q4,writing,82,2,9,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.142971750842916e-05,51.429717508429164,8.71197042870227,36.22333409305973,6.4944129866671565,10.6528,185
qwen2.5-7b-q4,writing,82,2,10,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.030993904291917e-05,50.30993904291917,8.17872886730188,35.781183545616294,6.350026630000986,10.4132,185
qwen2.5-7b-q4,writing,82,2,11,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.1517338921640706e-05,51.51733892164071,8.928110570463632,36.18678213534529,6.402446215831788,10.4841,185
qwen2.5-7b-q4,writing,82,2,12,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.0323434659355315e-05,50.323434659355314,7.985450683972801,35.922244392883115,6.415739582499403,10.554,185
qwen2.5-7b-q4,writing,82,2,13,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.014223815647229e-05,50.14223815647229,8.539699954901792,35.10840681073615,6.494131390834355,10.6033,185
qwen2.5-7b-q4,writing,82,2,14,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.021110009246066e-05,50.211100092460654,8.505859182054914,35.392467125404515,6.312773785001202,10.4299,185
qwen2.5-7b-q4,writing,82,2,15,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,5.201567922037246e-05,52.01567922037246,8.932918782558266,36.59953512448013,6.483225313334059,10.5734,185
qwen2.5-7b-q4,writing,83,3,1,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.210211130628307e-05,62.10211130628308,8.600015940916993,46.54323223953387,6.958863125832219,14.6276,259
qwen2.5-7b-q4,writing,83,3,2,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.175004610486324e-05,61.75004610486324,9.072936465153258,45.763287381376514,6.913822258333462,14.6384,259
qwen2.5-7b-q4,writing,83,3,3,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.248667926199417e-05,62.48667926199417,8.446926700773068,47.095427317887086,6.94432524333403,14.7023,259
qwen2.5-7b-q4,writing,83,3,4,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.149365430136355e-05,61.493654301363556,8.646076659150795,45.88672125304544,6.960856389167323,14.6784,259
qwen2.5-7b-q4,writing,83,3,5,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.13102221651468e-05,61.310222165146804,8.269122270578164,46.25874892123415,6.782350973334512,14.5982,259
qwen2.5-7b-q4,writing,83,3,6,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.298468198690513e-05,62.98468198690513,8.897210087315,47.34527759542166,6.742194304168456,14.6058,259
qwen2.5-7b-q4,writing,83,3,7,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.248834947646277e-05,62.48834947646277,9.000696614716146,46.519522099246494,6.968130762500095,14.6611,259
qwen2.5-7b-q4,writing,83,3,8,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.142731640869683e-05,61.42731640869683,8.44114186531998,46.11239867504446,6.87377586833236,14.6158,259
qwen2.5-7b-q4,writing,83,3,9,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.213091419113354e-05,62.130914191133535,8.425716216093539,46.89750623587333,6.807691739166633,14.5302,259
qwen2.5-7b-q4,writing,83,3,10,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.11249428430829e-05,61.1249428430829,8.728875066514115,45.64083048490082,6.7552372916679815,14.5625,259
qwen2.5-7b-q4,writing,83,3,11,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.057104779430503e-05,60.57104779430503,7.777951223071033,45.95954157123187,6.83355500000213,14.6221,259
qwen2.5-7b-q4,writing,83,3,12,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.23775959155554e-05,62.3775959155554,8.95332208868682,46.66266369103615,6.761610135832443,14.5356,259
qwen2.5-7b-q4,writing,83,3,13,Imagine you are writing a blog post comparing two popular smartphone models. Dev,6.0804182881953744e-05,60.80418288195374,8.346527221616418,45.660019097839466,6.797636562497853,14.5482,259
