modelo,categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
qwen2.5-7b-q4,stem,141,1,1,"In the field of quantum physics, what is superposition, and how does it relate t",7.385139115492591e-05,73.8513911549259,10.697153982030242,55.11355942789551,8.040677745000126,22.2524,439
qwen2.5-7b-q4,stem,141,1,2,"In the field of quantum physics, what is superposition, and how does it relate t",7.430532814236263e-05,74.30532814236264,10.472793568795986,55.48742981356659,8.345104760000055,22.6434,439
qwen2.5-7b-q4,stem,141,1,3,"In the field of quantum physics, what is superposition, and how does it relate t",7.424283941820041e-05,74.2428394182004,10.64584530077628,55.35730127075743,8.239692846666696,22.5852,439
qwen2.5-7b-q4,stem,141,1,4,"In the field of quantum physics, what is superposition, and how does it relate t",7.344571545761721e-05,73.44571545761721,10.165442464313383,55.31303059747063,7.96724239583322,22.2293,439
qwen2.5-7b-q4,stem,141,1,5,"In the field of quantum physics, what is superposition, and how does it relate t",7.363044618606602e-05,73.63044618606602,10.007139582850842,55.76263601321513,7.860670590000039,22.1733,439
qwen2.5-7b-q4,stem,141,1,6,"In the field of quantum physics, what is superposition, and how does it relate t",7.379287007379037e-05,73.79287007379037,10.009777051179624,55.90377333511064,7.879319687500112,22.1463,439
qwen2.5-7b-q4,stem,141,1,7,"In the field of quantum physics, what is superposition, and how does it relate t",7.482700255002667e-05,74.82700255002668,10.272161295770367,56.596357500922984,7.958483753333309,22.1775,439
qwen2.5-7b-q4,stem,141,1,8,"In the field of quantum physics, what is superposition, and how does it relate t",7.49482785578381e-05,74.94827855783811,10.337838562776751,56.89519339672796,7.71524659833337,22.0576,439
qwen2.5-7b-q4,stem,141,1,9,"In the field of quantum physics, what is superposition, and how does it relate t",7.45675658735311e-05,74.56756587353111,10.241995941387911,56.65306448130974,7.6725054508334765,22.315,439
qwen2.5-7b-q4,stem,141,1,10,"In the field of quantum physics, what is superposition, and how does it relate t",7.626136343356018e-05,76.26136343356018,10.237893602105721,57.60486608478764,8.418603746666804,22.003,439
qwen2.5-7b-q4,stem,141,1,11,"In the field of quantum physics, what is superposition, and how does it relate t",7.522320338245277e-05,75.22320338245278,9.97608031085647,57.61414289576302,7.632980175833286,22.185,439
qwen2.5-7b-q4,stem,141,1,12,"In the field of quantum physics, what is superposition, and how does it relate t",7.451538793096345e-05,74.51538793096344,9.58302124683068,57.17183970163286,7.760526982499888,22.2837,439
qwen2.5-7b-q4,stem,141,1,13,"In the field of quantum physics, what is superposition, and how does it relate t",7.625410794050384e-05,76.25410794050384,10.384416895428384,58.024589829242025,7.845101215833382,22.4033,439
qwen2.5-7b-q4,stem,141,1,14,"In the field of quantum physics, what is superposition, and how does it relate t",7.553944520838239e-05,75.53944520838239,10.324243526403048,57.366896300312625,7.848305381666686,22.3263,439
qwen2.5-7b-q4,stem,141,1,15,"In the field of quantum physics, what is superposition, and how does it relate t",7.509963476577296e-05,75.09963476577296,10.29374611464746,56.948027191958566,7.857861459166882,21.9358,439
qwen2.5-7b-q4,stem,142,2,1,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.731874466142103e-05,77.31874466142104,10.527402263739651,58.64416635684787,8.14717604083351,22.7666,451
qwen2.5-7b-q4,stem,142,2,2,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.681138716112779e-05,76.81138716112778,10.520718495512359,58.16386224228227,8.126806423333147,22.7619,451
qwen2.5-7b-q4,stem,142,2,3,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.81619273786271e-05,78.1619273786271,10.025383440326179,60.59292424996793,7.543619688332986,23.073,451
qwen2.5-7b-q4,stem,142,2,4,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.769396404104116e-05,77.69396404104116,10.721779005224551,58.758510488316354,8.213674547500222,22.7326,451
qwen2.5-7b-q4,stem,142,2,5,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.713129562617932e-05,77.13129562617931,10.502090969830816,58.56006813218207,8.069136524166444,22.6605,451
qwen2.5-7b-q4,stem,142,2,6,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.77340110729496e-05,77.7340110729496,10.718985130566931,58.7852194832159,8.229806459166772,22.8344,451
qwen2.5-7b-q4,stem,142,2,7,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.739926691801103e-05,77.39926691801104,10.600522112034447,58.5878438334765,8.210900972500115,22.7712,451
qwen2.5-7b-q4,stem,142,2,8,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.828638854737708e-05,78.28638854737709,10.73707411468302,59.40417602852779,8.14513840416623,22.777,451
qwen2.5-7b-q4,stem,142,2,9,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.849898079840655e-05,78.49898079840655,10.617757108418127,59.57367035665463,8.307553333333807,22.8984,451
qwen2.5-7b-q4,stem,142,2,10,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.823166020617718e-05,78.23166020617718,10.494875799527719,59.70721600498321,8.02956840166625,22.7746,451
qwen2.5-7b-q4,stem,142,2,11,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.903163031641211e-05,79.0316303164121,10.944452056492112,60.013021284086655,8.074156975833377,22.6777,451
qwen2.5-7b-q4,stem,142,2,12,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.970462961256032e-05,79.70462961256032,10.490229780514884,61.109554139544876,8.104845692500554,22.9235,451
qwen2.5-7b-q4,stem,142,2,13,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.918263693421014e-05,79.18263693421014,10.598001465471135,60.588873281238826,7.995762187500187,22.6559,451
qwen2.5-7b-q4,stem,142,2,14,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.785166976563817e-05,77.85166976563816,10.607614758712005,59.15731260609306,8.086742400833108,22.6247,451
qwen2.5-7b-q4,stem,142,2,15,Consider a satellite that is in a circular orbit around the Earth. The speed of ,7.780146451128315e-05,77.80146451128316,10.524284385460705,59.217244257489426,8.05993586833305,22.75,451
qwen2.5-7b-q4,stem,143,3,1,Photosynthesis is a vital process for life on Earth. Could you outline the two m,9.866916231320014e-05,98.66916231320013,11.66135519056783,78.11653455346618,8.89127256916614,30.7988,611
qwen2.5-7b-q4,stem,143,3,2,Photosynthesis is a vital process for life on Earth. Could you outline the two m,9.79433609345245e-05,97.9433609345245,11.576735570310614,77.74358834837975,8.623037015834143,30.6655,611
