"subset_id","official_question_id","original_category","internal_category","turn_1_preview","turn_2_preview","source_file","selection_strategy","source_sha256"
"1","81","writing","writing","Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attra","Rewrite your previous response. Start every sentence with the letter A.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"2","82","writing","writing","Draft a professional email seeking your supervisor's feedback on the 'Quarterly Financial Report' you prepared. Ask spec","Take a moment to evaluate and critique your own response.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"3","83","writing","writing","Imagine you are writing a blog post comparing two popular smartphone models. Develop an outline for the blog post, inclu","Take your previous response and rephrase it as a limerick.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"4","84","writing","writing","Write a persuasive email to convince your introverted friend, who dislikes public speaking, to volunteer as a guest spea","Can you rephrase your previous answer and incorporate a metaphor or simile in each sentence?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"5","85","writing","writing","Describe a vivid and unique character, using strong imagery and creative language. Please answer in fewer than two parag","Revise your previous response and incorporate an allusion to a famous work of literature or historical event in each sen","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"6","91","roleplay","roleplay","Pretend yourself to be Elon Musk in all the following conversations. Speak like Elon Musk as much as possible. Why do we","How do you like dancing? Can you teach me?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"7","92","roleplay","roleplay","Embrace the role of Sheldon from ""The Big Bang Theory"" as we delve into our conversation. Don’t start with phrases like ","Let’s grab dinner in town. Would you like to take bus with me?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"8","93","roleplay","roleplay","Imagine yourself as a doctor tasked with devising innovative remedies for various ailments and maladies. Your expertise ","But I have been pregnant for 20 weeks and I am allergic to many medicines","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"9","94","roleplay","roleplay","Please take on the role of a relationship coach. You'll be provided with details about two individuals caught in a confl","My spouse has conducted domestic violence on me but I do not want to call police to put her in legally troubled situatio","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"10","95","roleplay","roleplay","Please assume the role of an English translator, tasked with correcting and enhancing spelling and language. Regardless ","Ich verstehe nur Bahnhof","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"11","131","extraction","extraction","Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very negative, 3 being neutral, and 5 being very","Update your previous reply by including the release date as part of the JSON content.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"12","132","extraction","extraction","Given these categories - Literature, History, Science, and Art. Please analyze the following questions and assign them t","Amend your earlier answer by mentioning a person who is most relevant to each point.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"13","133","extraction","extraction","Extract the following information from the presented texts: The name of the book, the author, the main character, the ye","Reformulate your earlier reply, output it in JSON format and only include books published after 1980.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"14","134","extraction","extraction","Given the following data, identify the company with the highest profit in 2021 and provide its CEO's name:
a) Company X,","Which company had the highest profit margin (profit/revenue ratio))?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"15","135","extraction","extraction","Identify the countries, their capitals, and the languages spoken in the following sentences. Output in JSON format.
a) A","Come up with 3 similar examples in the YAML format.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"16","101","reasoning","reasoning","Imagine you are participating in a race with a group of people. If you have just overtaken the second person, what's you","If the ""second person"" is changed to ""last person"" in the above question, what would the answer be?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"17","102","reasoning","reasoning","You can see a beautiful red house to your left and a hypnotic greenhouse to your right, an attractive heated pink place ","Does the original question contain any clues to definitively determine the location of the White House?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"18","103","reasoning","reasoning","Thomas is very healthy, but he has to go to the hospital every day. What could be the reasons?","Can you explain why the above question is interesting?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"19","104","reasoning","reasoning","David has three sisters. Each of them has one brother. How many brothers does David have?","If we change the previous question and assume that each sister of David has two brothers, how many brothers would David ","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"20","105","reasoning","reasoning","Read the below passage carefully and answer the questions with an explanation:
At a small company, parking spaces are re","List car colors in order from last to first.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"21","111","math","math","The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is the area of the triangle?","What's area of the circle circumscribing the triangle?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"22","112","math","math","A tech startup invests $8000 in software development in the first year, and then invests half of that amount in software","If the startup maintains the same strategy for the third year, investing half of the previous year's amount into softwar","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"23","113","math","math","In a survey conducted at a local high school, preferences for a new school color were measured: 58% of students liked th","If we select a student liked green, what's the probability that he or she would dislike both colors?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"24","114","math","math","When rolling two dice, what is the probability that you roll a total number that is at least 3?","Continue from previous question. What's the probability that you roll a number which is even or at least 3?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"25","115","math","math","Some people got on a bus at the terminal. At the first bus stop, half of the people got down and 4 more people got in. T","If the ticket is $2 per person, how much is the total money earned by the bus?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"26","121","coding","coding","Develop a Python program that reads all the text files under a directory and returns top-5 words with the most number of","Can you parallelize it?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"27","122","coding","coding","Write a C++ program to find the nth Fibonacci number using recursion.","Now we define a sequence of numbers in which each number is the sum of the three preceding ones. The first three numbers","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"28","123","coding","coding","Write a simple website in HTML. When a user clicks the button, it shows a random joke from a list of 4 jokes.","How to use CSS to change the color of jokes to red?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"29","124","coding","coding","Here is a Python function to find the length of the longest common subsequence of two input strings. Can you identify an","what about this one?

```
def longest_common_subsequence(X , Y): 
    # Find lengths of two strings 
    m = len(X) 
   ","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"30","125","coding","coding","Write a function to find the highest common ancestor (not LCA) of two nodes in a binary tree.","What if it is not a binary tree?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"31","141","stem","stem","In the field of quantum physics, what is superposition, and how does it relate to the phenomenon of quantum entanglement","What assumptions have you made in your response? Are they valid?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"32","142","stem","stem","Consider a satellite that is in a circular orbit around the Earth. The speed of the satellite decreases. What will happe","What are some corner cases or edge cases in your solution? How do you handle them?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"33","143","stem","stem","Photosynthesis is a vital process for life on Earth. Could you outline the two main stages of photosynthesis, including ","How much energy can a tree produce through photosynthesis in its lifetime? Please provide an estimate using actual numer","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"34","144","stem","stem","What is the central dogma of molecular biology? What processes are involved? Who named this?","Identify and fix one incorrect fact in your previous response.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"35","145","stem","stem","Describe the process and write out the balanced chemical equation for the reaction that occurs when solid calcium carbon","How can we reverse this process?","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"36","151","humanities","humanities_social_sciences","Provide insights into the correlation between economic indicators such as GDP, inflation, and unemployment rates. Explai","Now, explain them again like I'm five.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"37","152","humanities","humanities_social_sciences","How do the stages of life shape our understanding of time and mortality?","Write an allegorical poem that illustrates the above.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"38","153","humanities","humanities_social_sciences","Discuss antitrust laws and their impact on market competition. Compare the antitrust laws in US and China along with som","Pick one case study and explain it in detail.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"39","154","humanities","humanities_social_sciences","Create a lesson plan that integrates drama, mime or theater techniques into a history class. Duration: 3 class periods (","Provide more details for Day 1 and include three homework questions.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
"40","155","humanities","humanities_social_sciences","Share ideas for adapting art masterpieces into interactive experiences for children. List 5 specific artworks and associ","Write a concrete plan for your second example. Include budget estimates.","data/mt_bench/official/question.jsonl","first_n_per_category","119565adbab82227089cefdb44c8d7e2cf04dc0a0ec233634c82e7d4e2a944f7"
