categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
writing,81,1,1,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00030176006994326324,301.76006994326326,114.53619403294883,103.19288410448131,84.03099180583315,114.6214,1024
writing,81,1,2,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00029535800262374585,295.35800262374585,116.08395475590109,94.37562783701142,84.8984200308336,115.8435,1024
writing,81,1,3,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.0002970114962300545,297.0114962300545,115.0929573701973,97.91513257819082,84.00340628166609,114.9696,1024
writing,81,1,4,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00030049461337213363,300.49461337213364,115.33759098432847,101.20362013280595,83.95340225499933,114.5916,1024
writing,81,1,5,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.0003061419678909609,306.1419678909609,118.42607455227751,103.5058380936835,84.21005524500006,115.0476,1024
writing,81,1,6,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00030172851506576903,301.72851506576905,116.65182518932059,100.96199897561472,84.11469090083378,114.8705,1024
writing,81,1,7,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.0003066928035957983,306.6928035957983,117.33810235021375,105.2622871480843,84.09241409750032,114.818,1024
writing,81,1,8,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00030333040970365835,303.33040970365835,116.651362052959,102.54028532486612,84.13876232583335,114.8801,1024
writing,81,1,9,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00030683834556783247,306.83834556783245,117.75261085420026,105.03662909113419,84.04910562249822,114.9362,1024
writing,81,1,10,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.0003080824211046466,308.0824211046466,117.55261984179224,106.67757275535556,83.85222850749891,114.5056,1024
writing,81,1,11,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.000309862724031199,309.862724031199,118.74968736519033,107.00686565600788,84.10617101000055,114.8566,1024
writing,81,1,12,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00030076946319322254,300.7694631932225,118.53622527702574,98.0314171845312,84.20182073166586,114.9918,1024
writing,81,1,13,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.0003066739240629395,306.6739240629395,119.13557250013575,103.49424441780484,84.04410714499896,114.5953,1024
writing,81,1,14,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00030371784075579745,303.71784075579745,117.7932088910364,102.02474401642773,83.89988784833346,115.7237,1024
writing,81,1,15,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting",0.00030566210840085475,305.6621084008548,118.73991436806337,102.62654993779151,84.29564409499979,114.8942,1024
writing,82,2,1,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.0003051434360754409,305.1434360754409,118.5484448557548,102.52881430968803,84.066176909998,114.9033,1024
writing,82,2,2,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.0003079335108404701,307.9335108404701,120.64216148617928,103.00084306762562,84.29050628666498,115.3839,1024
writing,82,2,3,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.0003080687106469771,308.0687106469771,119.9138162853523,103.82863873995703,84.32625562166781,114.9575,1024
writing,82,2,4,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.0003104280295079623,310.42802950796226,119.83217839999485,106.40125297880208,84.19459812916556,114.989,1024
writing,82,2,5,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.00030580070820030667,305.8007082003067,118.17880049447345,103.73040357666345,83.89150412916972,114.8305,1024
writing,82,2,6,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.0003040889564152614,304.0889564152614,119.92495161261708,99.94656185930715,84.21744294333735,115.4945,1024
writing,82,2,7,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.00031022461108261686,310.22461108261683,118.56962523511095,108.06454918417305,83.59043666333224,114.8977,1024
writing,82,2,8,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.00031036124221839393,310.36124221839395,119.74452428086258,106.73021804169817,83.88649989583352,115.4758,1024
writing,82,2,9,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.0003047157657207135,304.7157657207135,120.18190562807051,100.10264123847436,84.43121885416869,115.4022,1024
writing,82,2,10,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.00030599199636052797,305.991996360528,119.63411688140553,102.28213358245655,84.07574589666605,114.8681,1024
writing,82,2,11,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.0003046502982510857,304.6502982510857,119.53932600963404,101.0418952606189,84.06907698083276,115.0,1024
writing,82,2,12,Draft a professional email seeking your supervisor's feedback on the 'Quarterly ,0.0003092305954279271,309.2305954279271,120.30610034935039,104.7471397985756,84.17735528000132,115.3321,1024
