categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,inference_time_s,completion_tokens
reasoning,101,1,1,Imagine you are participating in a race with a group of people. If you have just,0.00026590195243746757,265.90195243746757,73.6347,1024
reasoning,101,1,2,Imagine you are participating in a race with a group of people. If you have just,0.00026602143564526554,266.02143564526557,73.6678,1024
reasoning,101,1,3,Imagine you are participating in a race with a group of people. If you have just,0.0002667497846847041,266.7497846847041,73.8695,1024
reasoning,101,1,4,Imagine you are participating in a race with a group of people. If you have just,0.00026679527919026537,266.7952791902654,73.882,1024
reasoning,101,1,5,Imagine you are participating in a race with a group of people. If you have just,0.00026691710660919243,266.91710660919244,73.9157,1024
reasoning,101,1,6,Imagine you are participating in a race with a group of people. If you have just,0.00026756594565504395,267.56594565504395,74.0953,1024
reasoning,101,1,7,Imagine you are participating in a race with a group of people. If you have just,0.00026770980889970414,267.70980889970417,74.1353,1024
reasoning,101,1,8,Imagine you are participating in a race with a group of people. If you have just,0.00026788108717831863,267.88108717831864,74.1828,1024
reasoning,101,1,9,Imagine you are participating in a race with a group of people. If you have just,0.00026780669033911887,267.80669033911886,74.1621,1024
reasoning,101,1,10,Imagine you are participating in a race with a group of people. If you have just,0.0002674627673479194,267.4627673479194,74.0669,1024
reasoning,101,1,11,Imagine you are participating in a race with a group of people. If you have just,0.0002671332852883117,267.1332852883117,73.9757,1024
reasoning,101,1,12,Imagine you are participating in a race with a group of people. If you have just,0.00026632948645300634,266.3294864530063,73.753,1024
reasoning,101,1,13,Imagine you are participating in a race with a group of people. If you have just,0.00026584298293555946,265.84298293555946,73.6184,1024
reasoning,101,1,14,Imagine you are participating in a race with a group of people. If you have just,0.00026563285008948185,265.63285008948185,73.5603,1024
reasoning,101,1,15,Imagine you are participating in a race with a group of people. If you have just,0.00026565962978513204,265.65962978513204,73.5675,1024
reasoning,102,2,1,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.00026518051809766287,265.18051809766285,73.4349,1024
reasoning,102,2,2,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002652267709315574,265.2267709315574,73.4477,1024
reasoning,102,2,3,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.00026499627730667874,264.99627730667873,73.3838,1024
reasoning,102,2,4,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002651639108081003,265.1639108081003,73.4302,1024
reasoning,102,2,5,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002649828243752241,264.9828243752241,73.3801,1024
reasoning,102,2,6,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.00026513854884841647,265.13854884841646,73.4232,1024
reasoning,102,2,7,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002651062427743292,265.1062427743292,73.4143,1024
reasoning,102,2,8,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.00026509947157109617,265.09947157109616,73.4124,1024
reasoning,102,2,9,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.00026503556898150525,265.03556898150526,73.3947,1024
