modelo,categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
qwen2.5-7b-q4,extraction,131,1,1,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",4.342679278439573e-06,4.342679278439573,2.323622750939574,0.0,2.0190565274999988,1.4174,13
qwen2.5-7b-q4,extraction,131,1,2,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",4.395550891856971e-06,4.395550891856971,2.379709850190303,0.0,2.0158410416666683,1.4136,13
qwen2.5-7b-q4,extraction,131,1,3,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",4.364760218332312e-06,4.364760218332312,2.3453698716656337,0.0,2.0193903466666776,1.4178,13
qwen2.5-7b-q4,extraction,131,1,4,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.818533254207588e-06,3.818533254207588,1.604728896431946,0.06335807360897235,2.1504462841666694,1.575,13
qwen2.5-7b-q4,extraction,131,1,5,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.723251620925297e-06,3.723251620925297,1.4690919984779198,0.06967566411405553,2.1844839583333213,1.6154,13
qwen2.5-7b-q4,extraction,131,1,6,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.705490845090855e-06,3.705490845090855,1.4892391486468501,0.068004890610667,2.148246805833338,1.5725,13
qwen2.5-7b-q4,extraction,131,1,7,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.5282241803047866e-06,3.5282241803047865,1.310534787035357,0.08073470576941671,2.136954687500013,1.559,13
qwen2.5-7b-q4,extraction,131,1,8,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.82570041238567e-06,3.82570041238567,1.5946091060277696,0.08399036969124976,2.147100936666651,1.5712,13
qwen2.5-7b-q4,extraction,131,1,9,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.547652240624286e-06,3.547652240624286,1.31242807366594,0.09472565945833335,2.1404985075000127,1.5627,13
qwen2.5-7b-q4,extraction,131,1,10,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.809832246828821e-06,3.809832246828821,1.5662901967918401,0.0974863200369801,2.1460557300000005,1.5693,13
qwen2.5-7b-q4,extraction,131,1,11,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.6077782860138454e-06,3.607778286013845,1.369993635981797,0.09729395503202751,2.140490695000021,1.563,13
qwen2.5-7b-q4,extraction,131,1,12,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.48267911308819e-06,3.48267911308819,1.2407033779398386,0.09634365098169219,2.145632084166659,1.5693,13
qwen2.5-7b-q4,extraction,131,1,13,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.7710699289759225e-06,3.7710699289759226,1.461766964326386,0.16587397131622106,2.143428993333316,1.5668,13
qwen2.5-7b-q4,extraction,131,1,14,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.626399761036285e-06,3.6263997610362853,1.395734588620338,0.09967162991594396,2.130993542500003,1.5543,13
qwen2.5-7b-q4,extraction,131,1,15,"Evaluate the following movie reviews on a scale of 1 to 5, with 1 being very neg",3.697230879775229e-06,3.697230879775229,1.4589778402516629,0.10586797035691659,2.1323850691666495,1.5562,13
qwen2.5-7b-q4,extraction,132,2,1,"Given these categories - Literature, History, Science, and Art. Please analyze t",3.88973472362609e-06,3.8897347236260904,1.7159891027927379,0.12443298250000029,2.049312638333353,1.4539,8
qwen2.5-7b-q4,extraction,132,2,2,"Given these categories - Literature, History, Science, and Art. Please analyze t",3.806988346335917e-06,3.8069883463359173,1.6419017701345329,0.12074692370138937,2.044339652499995,1.4478,8
qwen2.5-7b-q4,extraction,132,2,3,"Given these categories - Literature, History, Science, and Art. Please analyze t",3.94681279729394e-06,3.9468127972939397,1.7695205178538889,0.11430783444002879,2.062984445000022,1.4701,8
qwen2.5-7b-q4,extraction,132,2,4,"Given these categories - Literature, History, Science, and Art. Please analyze t",3.456081972252481e-06,3.456081972252481,1.2639465910105836,0.10501482540856015,2.087120555833337,1.4991,8
qwen2.5-7b-q4,extraction,132,2,5,"Given these categories - Literature, History, Science, and Art. Please analyze t",4.256911809420574e-06,4.256911809420574,2.1018647082425987,0.10414467034466655,2.050902430833309,1.4552,8
qwen2.5-7b-q4,extraction,132,2,6,"Given these categories - Literature, History, Science, and Art. Please analyze t",3.837751983556341e-06,3.837751983556341,1.6807750219556867,0.11005814160066645,2.0469188199999877,1.454,8
qwen2.5-7b-q4,extraction,132,2,7,"Given these categories - Literature, History, Science, and Art. Please analyze t",3.7346063617330086e-06,3.7346063617330088,1.570895682442692,0.11213144429030568,2.0515792350000104,1.4566,8
qwen2.5-7b-q4,extraction,132,2,8,"Given these categories - Literature, History, Science, and Art. Please analyze t",3.843110339527317e-06,3.843110339527317,1.6785740025669016,0.10817901029374953,2.056357326666666,1.4622,8
qwen2.5-7b-q4,extraction,132,2,9,"Given these categories - Literature, History, Science, and Art. Please analyze t",3.858934480849064e-06,3.858934480849064,1.6952588088141878,0.11032042786819525,2.0533552441666814,1.4587,8
qwen2.5-7b-q4,extraction,132,2,10,"Given these categories - Literature, History, Science, and Art. Please analyze t",3.7347834271008324e-06,3.734783427100832,1.5740429112413055,0.1118478425261947,2.048892673333332,1.4533,8
qwen2.5-7b-q4,extraction,132,2,11,"Given these categories - Literature, History, Science, and Art. Please analyze t",3.824561451956134e-06,3.824561451956134,1.6293225986148665,0.1252428116745833,2.069996041666684,1.4779,8
