modelo,categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
qwen2.5-7b-q4,math,111,1,1,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.526906593612397e-05,65.26906593612397,10.341850380517744,47.14287409727295,7.784341458333278,18.6,368
qwen2.5-7b-q4,math,111,1,2,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.521467597077876e-05,65.21467597077876,9.80084928397238,47.44214508847298,7.971681598333403,18.7902,368
qwen2.5-7b-q4,math,111,1,3,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.468026924522682e-05,64.68026924522682,9.656811566149242,47.307726986577556,7.715730692500009,18.5378,368
qwen2.5-7b-q4,math,111,1,4,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.501890855853046e-05,65.01890855853046,10.057147700646967,47.17111360205013,7.7906472558333695,18.567,368
qwen2.5-7b-q4,math,111,1,5,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.588411149543793e-05,65.88411149543793,9.85612280731112,48.10801958979336,7.919969098333465,18.7356,368
qwen2.5-7b-q4,math,111,1,6,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.577343242643031e-05,65.77343242643032,9.939662376455635,47.93914904080816,7.894621009166562,18.7048,368
qwen2.5-7b-q4,math,111,1,7,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.53792417083234e-05,65.3792417083234,9.946265065685607,47.605022160971345,7.8279544816664774,18.5979,368
qwen2.5-7b-q4,math,111,1,8,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.752373724256863e-05,67.52373724256863,10.396702843832752,49.20935672290246,7.917677675833421,18.8505,368
qwen2.5-7b-q4,math,111,1,9,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.716655447595151e-05,67.16655447595151,11.185554020141357,48.174620179143666,7.806380276666498,18.5289,368
qwen2.5-7b-q4,math,111,1,10,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.562411178838585e-05,65.62411178838585,9.663153504605361,48.20869311044718,7.752265173333322,18.739,368
qwen2.5-7b-q4,math,111,1,11,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.624803956146933e-05,66.24803956146933,9.914184242175326,48.644542020127304,7.689313299166684,18.701,368
qwen2.5-7b-q4,math,111,1,12,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.606604708368332e-05,66.06604708368332,10.229815933041687,48.23583673897501,7.600394411666589,18.5642,368
qwen2.5-7b-q4,math,111,1,13,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.626247352644402e-05,66.26247352644401,9.840243374332651,48.842474143778155,7.5797560083331925,18.6758,368
qwen2.5-7b-q4,math,111,1,14,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.7532888001403e-05,67.53288800140301,10.044758761676826,49.912163165559456,7.575966074166731,18.5502,368
qwen2.5-7b-q4,math,111,1,15,"The vertices of a triangle are at points (0, 0), (-1, 1), and (3, 3). What is th",6.619555011403473e-05,66.19555011403473,10.220554849930355,48.299537870771076,7.675457393333287,18.6226,368
qwen2.5-7b-q4,math,112,2,1,"A tech startup invests $8000 in software development in the first year, and then",4.5795396938009064e-05,45.79539693800906,8.35342521969279,30.726283661649646,6.715688056666616,10.7464,208
qwen2.5-7b-q4,math,112,2,2,"A tech startup invests $8000 in software development in the first year, and then",4.730704060327011e-05,47.30704060327011,8.531550116302766,32.201944651133786,6.5735458358335555,10.6521,208
qwen2.5-7b-q4,math,112,2,3,"A tech startup invests $8000 in software development in the first year, and then",4.682189756024532e-05,46.821897560245326,8.58824521619022,31.580893419055148,6.652758924999963,10.6922,208
qwen2.5-7b-q4,math,112,2,4,"A tech startup invests $8000 in software development in the first year, and then",4.6606542817914926e-05,46.60654281791493,8.6302047143151,31.36904560526655,6.607292498333284,10.6287,208
qwen2.5-7b-q4,math,112,2,5,"A tech startup invests $8000 in software development in the first year, and then",4.7409086523905634e-05,47.409086523905636,8.743946115611472,31.977928740794045,6.687211667500132,10.7069,208
qwen2.5-7b-q4,math,112,2,6,"A tech startup invests $8000 in software development in the first year, and then",4.707915409884945e-05,47.07915409884945,8.647451424584505,31.81985975759861,6.611842916666338,10.7084,208
qwen2.5-7b-q4,math,112,2,7,"A tech startup invests $8000 in software development in the first year, and then",4.646936347361172e-05,46.46936347361172,8.270964458875781,31.639169813902768,6.559229200833178,10.6466,208
qwen2.5-7b-q4,math,112,2,8,"A tech startup invests $8000 in software development in the first year, and then",4.667142549061727e-05,46.67142549061727,8.393577417374063,31.603379322410017,6.674468750833189,10.6944,208
qwen2.5-7b-q4,math,112,2,9,"A tech startup invests $8000 in software development in the first year, and then",4.630882443522365e-05,46.308824435223656,8.379137307427817,31.34662400112898,6.583063126666862,10.6517,208
qwen2.5-7b-q4,math,112,2,10,"A tech startup invests $8000 in software development in the first year, and then",4.714411365304821e-05,47.14411365304821,8.425782266391895,32.195540344989745,6.522791041666569,10.6503,208
qwen2.5-7b-q4,math,112,2,11,"A tech startup invests $8000 in software development in the first year, and then",4.6790599903565406e-05,46.79059990356541,8.75838440554979,31.33481779051562,6.697397707499986,10.6586,208
qwen2.5-7b-q4,math,112,2,12,"A tech startup invests $8000 in software development in the first year, and then",4.6808987357931556e-05,46.80898735793156,8.056752962096743,32.222530854167886,6.52970354166693,10.6349,208
qwen2.5-7b-q4,math,112,2,13,"A tech startup invests $8000 in software development in the first year, and then",4.753101543003403e-05,47.53101543003403,8.665354110366371,32.24798423466747,6.617677085000176,10.6396,208
qwen2.5-7b-q4,math,112,2,14,"A tech startup invests $8000 in software development in the first year, and then",4.7036322006335924e-05,47.03632200633592,8.619549663347371,31.82727991382193,6.589492429166625,10.6789,208
qwen2.5-7b-q4,math,112,2,15,"A tech startup invests $8000 in software development in the first year, and then",4.842317566250595e-05,48.423175662505955,8.794883020354401,33.13128996798451,6.4970026741670495,10.5754,208
qwen2.5-7b-q4,math,113,3,1,"In a survey conducted at a local high school, preferences for a new school color",6.416596560485478e-05,64.16596560485478,9.129077566729777,47.57321255062486,7.463675487500156,17.6603,344
qwen2.5-7b-q4,math,113,3,2,"In a survey conducted at a local high school, preferences for a new school color",6.475732667187033e-05,64.75732667187033,9.936928309307332,47.39793721839614,7.422461144166829,17.5335,344
qwen2.5-7b-q4,math,113,3,3,"In a survey conducted at a local high school, preferences for a new school color",6.410196236860924e-05,64.10196236860925,9.568537718118336,47.2165125329909,7.31691211749999,17.3543,344
qwen2.5-7b-q4,math,113,3,4,"In a survey conducted at a local high school, preferences for a new school color",6.61098361785539e-05,66.1098361785539,9.997574046010866,48.69632647254317,7.415935659999871,17.5264,344
qwen2.5-7b-q4,math,113,3,5,"In a survey conducted at a local high school, preferences for a new school color",6.548168002898061e-05,65.48168002898062,10.216626168943893,47.88003893170345,7.385014928333266,17.5563,344
qwen2.5-7b-q4,math,113,3,6,"In a survey conducted at a local high school, preferences for a new school color",6.486251683754183e-05,64.86251683754183,9.951574463168296,47.52518143854,7.385760935833522,17.5295,344
qwen2.5-7b-q4,math,113,3,7,"In a survey conducted at a local high school, preferences for a new school color",6.555840677520453e-05,65.55840677520453,9.955990332556523,48.15429970598123,7.448116736666747,17.6514,344
qwen2.5-7b-q4,math,113,3,8,"In a survey conducted at a local high school, preferences for a new school color",6.502383293458115e-05,65.02383293458115,10.021730719748618,47.6114177698322,7.390684445000299,17.4404,344
qwen2.5-7b-q4,math,113,3,9,"In a survey conducted at a local high school, preferences for a new school color",6.472882606313854e-05,64.72882606313854,9.936655741363916,47.44420139927457,7.347968922500078,17.4278,344
qwen2.5-7b-q4,math,113,3,10,"In a survey conducted at a local high school, preferences for a new school color",6.48790675699654e-05,64.8790675699654,9.99304119536367,47.52657602710165,7.359450347500076,17.4857,344
