modelo,categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
qwen2.5-7b-q4,coding,121,1,1,Develop a Python program that reads all the text files under a directory and ret,7.29068384602546e-05,72.9068384602546,10.15470764122738,54.728739013193966,8.023391805833267,22.2741,434
qwen2.5-7b-q4,coding,121,1,2,Develop a Python program that reads all the text files under a directory and ret,7.409725627005275e-05,74.09725627005275,10.650462009819222,55.29434627356715,8.152447986666404,22.4742,434
qwen2.5-7b-q4,coding,121,1,3,Develop a Python program that reads all the text files under a directory and ret,7.479251822025754e-05,74.79251822025755,10.392538175191477,55.94258372506631,8.457396319999761,21.9013,434
qwen2.5-7b-q4,coding,121,1,4,Develop a Python program that reads all the text files under a directory and ret,7.369945674237869e-05,73.69945674237869,10.072271342193593,55.607293630184984,8.019891770000054,22.325,434
qwen2.5-7b-q4,coding,121,1,5,Develop a Python program that reads all the text files under a directory and ret,7.48462832721464e-05,74.84628327214641,10.610728430770466,56.13207192554223,8.103482915833714,22.4494,434
qwen2.5-7b-q4,coding,121,1,6,Develop a Python program that reads all the text files under a directory and ret,7.451221913466257e-05,74.51221913466257,10.476536190366039,56.069154646796356,7.96652829750021,22.2842,434
qwen2.5-7b-q4,coding,121,1,7,Develop a Python program that reads all the text files under a directory and ret,7.411707027702246e-05,74.11707027702246,9.865289250060655,56.612834709461794,7.63894631750001,21.9599,434
qwen2.5-7b-q4,coding,121,1,8,Develop a Python program that reads all the text files under a directory and ret,7.410170527843604e-05,74.10170527843604,9.875679787811313,56.689208684790984,7.536816805833741,21.9287,434
qwen2.5-7b-q4,coding,121,1,9,Develop a Python program that reads all the text files under a directory and ret,7.429319047368141e-05,74.2931904736814,10.118965411486112,56.00079450469538,8.173430557499918,21.8109,434
qwen2.5-7b-q4,coding,121,1,10,Develop a Python program that reads all the text files under a directory and ret,7.513579618409274e-05,75.13579618409274,10.286398847847734,56.57495705874494,8.274440277500048,21.9379,434
qwen2.5-7b-q4,coding,121,1,11,Develop a Python program that reads all the text files under a directory and ret,7.483623987185061e-05,74.83623987185061,9.96590940759844,57.37273591508568,7.497594549166519,22.0187,434
qwen2.5-7b-q4,coding,121,1,12,Develop a Python program that reads all the text files under a directory and ret,7.467307274377825e-05,74.67307274377825,9.910488817731244,57.30347378771366,7.459110138333361,22.0973,434
qwen2.5-7b-q4,coding,121,1,13,Develop a Python program that reads all the text files under a directory and ret,7.595321414965443e-05,75.95321414965443,10.40747924048214,57.667503971671835,7.878230937500442,22.3741,434
qwen2.5-7b-q4,coding,121,1,14,Develop a Python program that reads all the text files under a directory and ret,7.670134832221895e-05,76.70134832221895,10.3947197624992,57.997491650553016,8.309136909166737,21.9581,434
qwen2.5-7b-q4,coding,121,1,15,Develop a Python program that reads all the text files under a directory and ret,7.42620569099985e-05,74.26205690999849,9.951004744501931,56.17075254882969,8.140299616666862,21.8657,434
qwen2.5-7b-q4,coding,122,2,1,Write a C++ program to find the nth Fibonacci number using recursion.,7.127507076311798e-05,71.27507076311798,9.915380055080949,53.35142112553688,8.008269582500132,19.9304,397
qwen2.5-7b-q4,coding,122,2,2,Write a C++ program to find the nth Fibonacci number using recursion.,6.984439888945634e-05,69.84439888945634,9.886314652610835,51.95226010267912,8.005824134166348,19.8588,397
